FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2006-03-24,Falcon 1,20,LEO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin1A,167.7431292,9.0477206
2,2007-03-21,Falcon 1,,LEO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin2A,167.7431292,9.0477206
3,2008-08-03,Falcon 1,,LEO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin1C,167.7431292,9.0477206
4,2008-09-28,Falcon 1,,LEO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin2C,167.7431292,9.0477206
5,2009-07-13,Falcon 1,165,LEO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin3C,167.7431292,9.0477206
6,2010-06-04,Falcon 9,200,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0003,-80.577366,28.5618571
7,2010-12-08,Falcon 9,,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0004,-80.577366,28.5618571
8,2012-05-22,Falcon 9,,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0005,-80.577366,28.5618571
9,2012-10-08,Falcon 9,,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0006,-80.577366,28.5618571
10,2013-03-01,Falcon 9,525,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B0007,-80.577366,28.5618571
11,2013-09-29,Falcon 9,400,ISS,VAFB SLC 4E,False Ocean,1,False,False,False,,1,0,B1003,-120.610829,34.632093
12,2013-12-03,Falcon 9,400,LEO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1004,-80.577366,28.5618571
13,2014-01-06,Falcon 9,677,ISS,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1005,-80.577366,28.5618571
14,2014-04-18,Falcon 9,500,PO,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1006,-80.577366,28.5618571
15,2014-07-14,Falcon 9,3170,GTO,CCSFS SLC 40,True Ocean,1,False,False,True,,1,0,B1007,-80.577366,28.5618571
16,2014-08-05,Falcon 9,3325,GTO,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1008,-80.577366,28.5618571
17,2014-09-07,Falcon 9,2296,ISS,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1011,-80.577366,28.5618571
18,2014-09-21,Falcon 9,1316,LEO,CCSFS SLC 40,False Ocean,1,False,False,False,,1,0,B1010,-80.577366,28.5618571
19,2015-01-10,Falcon 9,4535,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
20,2015-02-11,Falcon 9,4428,GTO,CCSFS SLC 40,True Ocean,1,True,False,True,,1,0,B1013,-80.577366,28.5618571
21,2015-03-02,Falcon 9,2216,ISS,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1014,-80.577366,28.5618571
22,2015-04-14,Falcon 9,2395,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
23,2015-04-27,Falcon 9,570,ES-L1,CCSFS SLC 40,None None,1,False,False,False,,1,0,B1016,-80.577366,28.5618571
24,2015-06-28,Falcon 9,1954,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
25,2015-12-22,Falcon 9,2205,GTO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
