,FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
101,102,03/09/2020,Falcon 9,1,LEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
102,103,06/10/2020,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
103,104,18/10/2020,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
104,105,24/10/2020,Falcon 9,1,LEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
105,106,05/11/2020,Falcon 9,2227.7,ISS,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
106,107,16/11/2020,Falcon 9,6500,GTO,KSC LC 39A,True RTLS,4,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
107,108,21/11/2020,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-120.610829,34.632093
108,109,25/11/2020,Falcon 9,5000,ISS,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
109,110,06/12/2020,Falcon 9,6800,GTO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
110,111,13/12/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
111,112,19/12/2020,Falcon 9,,SO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.6039558,28.6080585
112,113,08/01/2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.577366,28.5618571
113,114,20/01/2021,Falcon 9,15600,VLEO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb554034e7c9,5,6,B1063,-80.6039558,28.6080585
